(A1) CITY;(A2) PROVINCE;(B3) GENDER;(B4) AGE;(B5) RELIGION;(B6) ETHNIC;(B7) EDUCATION LEVEL;(B8) LIVED IN URBAN AREA (YEARS);(B9) OCCUPATION;(B10) SOCIAL CLAS;(B11) HOUSEHOLD MEMBER;(C12) HOUSEHOLD INCOME (MONTHLY IN MILLION IDR);(C13) TIME OF INCOME RECEIPT;(C14) HOUSEHOLD EXPENDITURE (MONTHLY IN MILLION IDR);(C15) % MONTHLY EXPENDITURE FOR FOOD;(D16) HEALTH FACTOR;(D17) PRICE FACTOR);(E18) RELIGIOUS VALUE IN TYPE OF FOOD;(E19) RELIGIOUS VALUE IN EATING PLACES;(E20) RELIGIOUS VALUE IN CONSUMPTION PATTERN;(E21) CUSTOM VALUE IN TYPE OF FOOD;(E22) CUSTOM VALUE IN EATING PLACES;(E23) CUSTOM VALUE IN CONSUMPTION PATTERN;(24) PRACTICE OF FOOD CONSUMPTION BASED ON RELIGIOUS RULES;(25) PRACTICE OF FOOD CONSUMPTION BASED ON CUSTOM RULES;(E26) BUYING FOOD PRODUCT IN THE RIGHT PLACE BASED ON RELIGIOUS RULES;(E27 TYPE OF DISHES VARIATION BASED ON RELIGIOUS RULES;(E28) PRACTICE OF CONSUMING TRADITIONAL FOOD;
Jakarta;DKI Jakarta;Female;31;Islam;Java;Senior High School;31;Private Employees;Lower Class;5;3:08;Daily;3:02;57;Disagree;Agree;Strongly Agree;Neither agree nor disagree;Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;36;Islam;Java;Bachelor degree;32;Private Employees;Lower Class;6;4:02;Weekly;4:01;43;Neither agree nor disagree;Strongly Agree;Strongly Agree;Agree;Agree;Strongly Agree;Agree;Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;
Jakarta;DKI Jakarta;Male;24;Islam;Java;Senior High School;24;Private Employees;Middle Class;5;5:08;Weekly;5:05;38;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;63;Islam;Other;Senior High School;32;Private Employees;Lower Class;5;3:01;Daily;2:08;61;Neither agree nor disagree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;
Jakarta;DKI Jakarta;Male;43;Protestant;Batak;Primary School;43;Government Employees;Lower Class;6;3:04;Daily;3:01;58;Strongly Disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Agree;Disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;47;Protestant;Java;Senior High School;47;Government Employees;Lower Class;6;4:01;Weekly;5:03;34;Disagree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Disagree;Disagree;Strongly Agree;Agree;
Jakarta;DKI Jakarta;Female;28;Catholic;Java;Senior High School;28;Enterpreneur;Upper Class;7;13:00;Monthly;11:08;26;Agree;Disagree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Agree;Disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;48;Islam;Java;Senior High School;31;Enterpreneur;Lower Class;6;3:02;Daily;2:06;57;Disagree;Agree;Strongly Agree;Neither agree nor disagree;Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;
Jakarta;DKI Jakarta;Female;36;Islam;Java;Senior High School;36;Enterpreneur;Upper Class;6;10:03;Monthly;10:00;24;Neither agree nor disagree;Disagree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;
Jakarta;DKI Jakarta;Female;39;Protestant;Other;Bachelor degree;19;Private Employees;Upper Class;7;14:02;Monthly;13:09;27;Strongly Agree;Disagree;Agree;Neither agree nor disagree;Agree;Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Agree;
Jakarta;DKI Jakarta;Male;53;Catholic;Batak;Master and doctoral degree;12;Private Employees;Lower Class;8;3:04;Daily;3:01;67;Disagree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;
Jakarta;DKI Jakarta;Male;57;Islam;Java;Primary School;22;Private Employees;Middle Class;7;4:01;Weekly;4:04;36;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;
Jakarta;DKI Jakarta;Female;46;Islam;Java;Bachelor degree;22;Private Employees;Lower Class;7;5:08;Weekly;5:04;42;Disagree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;Agree;Agree;Strongly Agree;
